"Creator";"From_Name";"From_ID";"From_Revision";"From_Number";"To_Name";"To_ID";"To_Revision";"From_Number";"Created_On";"Type";"From_Version";"To_Version"
"Dokumentablage, Company, think project!";"TestRefresh1";"CMC-00198-01-V-001";"01";"CMC-00198";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestRefresh1";"CMC-00198-01-V-001";"01";"CMC-00198";"VIEWPOINT FOR PRESENTATION 2";"VPC-00104-00-V-001";"00";"VPC-00104";"";"";"1";"1"
"Dokumentablage, Company, think project!";"TestRefresh2";"CMC-00199-01-V-001";"01";"CMC-00199";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestRefresh3";"CMC-00200-01-V-001";"01";"CMC-00200";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestRefresh3";"CMC-00200-01-V-001";"01";"CMC-00200";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"TestRefresh3";"CMC-00201-01-V-001";"01";"CMC-00201";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"TestRefresh3";"CMC-00201-01-V-001";"01";"CMC-00201";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"TestRefresh2";"CMC-00202-01-V-001";"01";"CMC-00202";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestRefresh2";"CMC-00202-01-V-001";"01";"CMC-00202";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400";"CMC-00203-01-V-001";"01";"CMC-00203";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestCreateNewDocument1";"CMC-00204-01-V-001";"01";"CMC-00204";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestCreateNewDocument1";"CMC-00204-01-V-001";"01";"CMC-00204";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"BIM-291";"VPC-00185-01-V-001";"01";"VPC-00185";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"TEST GEE 24/03-2";"VPC-00205-01-V-001";"01";"VPC-00205";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"TEST GEE 24/03-3";"VPC-00206-01-V-001";"01";"VPC-00206";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"TEST GEE 24/03-4";"VPC-00207-01-V-001";"01";"VPC-00207";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"test vpc 1";"VPC-00261-01-V-001";"01";"VPC-00261";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"vpc test 2";"VPC-00262-01-V-001";"01";"VPC-00262";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"vpc 3 test";"VPC-00263-01-V-001";"01";"VPC-00263";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"4 test vpc";"VPC-00264-01-V-001";"01";"VPC-00264";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"5 vpc test";"VPC-00265-01-V-001";"01";"VPC-00265";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"vpc test 6";"VPC-00266-01-V-001";"01";"VPC-00266";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"test vpc 7";"VPC-00268-01-V-001";"01";"VPC-00268";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"8 tset cpv";"VPC-00269-01-V-001";"01";"VPC-00269";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"vpc test 9";"VPC-00270-01-V-001";"01";"VPC-00270";"";"";"1";"1"
"Dokumentablage, Company, think project!";"CLI_TPM_AT_ALL_ARC_400[AT]";"CMC-00205-01-V-001";"01";"CMC-00205";"vpc test 10";"VPC-00271-01-V-001";"01";"VPC-00271";"";"";"1";"1"
